Date Time, GA_CWRP RATP_Vehicles_In_Train, , , CC_GP_Outputs Vehicles_In_Train, , , DTL NPR_Message_Sent_Cntr, , , DTL NPR_Serial_Port_Rx_Count, , , DTL NPR_Serial_Port_Rx_Length, , , Event Name, 
, Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , 
12/06/2019 11:28:34, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:34, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:35, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:36, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:37, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:37, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
12/06/2019 11:28:37, 0, 0,  , 1, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
