Date Time, DTL NP_Reader_Message, , , DTL Position_System_Failure_Reason, , , DTL NPR_Message_Sent_Cntr, , , DTL NP_Received_Cntr, , , DTL NP_Invalid_Cntr, , , DTL NPR_Serial_Port_Rx_Count, , , DTL NPR_Serial_Port_Rx_Length, , , Event Name, 
, Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , Raw Value , Calc Value , Enum/Bitmap , 
14/06/2019 10:54:29, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:29, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:29, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:29, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:30, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:31, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:32, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:33, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:34, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
14/06/2019 10:54:35, 0, 0, No Msg, 6, 0, NO_REFERENCE_LOCATION, 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 0, 0,  , 
